OP CODE,OP TYPE,GLOBAL CALL COUNT,DEVICE ID,ATTRIBUTES,MATH FIDELITY,CORE COUNT,PARALLELIZATION STRATEGY,HOST START TS,HOST END TS,HOST DURATION [ns],DEVICE FW START CYCLE,DEVICE FW END CYCLE,OP TO OP LATENCY [ns],OP TO OP LATENCY BR/NRISC START [ns],DEVICE FW DURATION [ns],DEVICE KERNEL DURATION [ns],DEVICE KERNEL DURATION DM START [ns],DEVICE KERNEL DURATION PER CORE MIN [ns],DEVICE KERNEL DURATION PER CORE MAX [ns],DEVICE KERNEL DURATION PER CORE AVG [ns],DEVICE KERNEL FIRST TO LAST START [ns],DEVICE BRISC KERNEL DURATION [ns],DEVICE NCRISC KERNEL DURATION [ns],DEVICE TRISC0 KERNEL DURATION [ns],DEVICE TRISC1 KERNEL DURATION [ns],DEVICE TRISC2 KERNEL DURATION [ns],DEVICE ERISC KERNEL DURATION [ns],DEVICE COMPUTE CB WAIT FRONT [ns],DEVICE COMPUTE CB RESERVE BACK [ns],DISPATCH TOTAL CQ CMD OP TIME [ns],DISPATCH GO SEND WAIT TIME [ns],INPUT_0_W,INPUT_0_Z,INPUT_0_Y,INPUT_0_X,INPUT_0_LAYOUT,INPUT_0_DATATYPE,INPUT_0_MEMORY,INPUT_1_W,INPUT_1_Z,INPUT_1_Y,INPUT_1_X,INPUT_1_LAYOUT,INPUT_1_DATATYPE,INPUT_1_MEMORY,INPUT_2_W,INPUT_2_Z,INPUT_2_Y,INPUT_2_X,INPUT_2_LAYOUT,INPUT_2_DATATYPE,INPUT_2_MEMORY,INPUT_3_W,INPUT_3_Z,INPUT_3_Y,INPUT_3_X,INPUT_3_LAYOUT,INPUT_3_DATATYPE,INPUT_3_MEMORY,INPUT_4_W,INPUT_4_Z,INPUT_4_Y,INPUT_4_X,INPUT_4_LAYOUT,INPUT_4_DATATYPE,INPUT_4_MEMORY,OUTPUT_0_W,OUTPUT_0_Z,OUTPUT_0_Y,OUTPUT_0_X,OUTPUT_0_LAYOUT,OUTPUT_0_DATATYPE,OUTPUT_0_MEMORY,OUTPUT_1_W,OUTPUT_1_Z,OUTPUT_1_Y,OUTPUT_1_X,OUTPUT_1_LAYOUT,OUTPUT_1_DATATYPE,OUTPUT_1_MEMORY,OUTPUT_2_W,OUTPUT_2_Z,OUTPUT_2_Y,OUTPUT_2_X,OUTPUT_2_LAYOUT,OUTPUT_2_DATATYPE,OUTPUT_2_MEMORY,METAL TRACE ID,METAL TRACE REPLAY SESSION ID,COMPUTE KERNEL SOURCE,COMPUTE KERNEL HASH,DATA MOVEMENT KERNEL SOURCE,DATA MOVEMENT KERNEL HASH,BRISC MAX KERNEL SIZE [B],NCRISC MAX KERNEL SIZE [B],TRISC 0 MAX KERNEL SIZE [B],TRISC 1 MAX KERNEL SIZE [B],TRISC 2 MAX KERNEL SIZE [B],ERISC MAX KERNEL SIZE [B],PM IDEAL [ns],PM COMPUTE [ns],PM BANDWIDTH [ns],PM REQ I BW,PM REQ O BW,PM FPU UTIL (%),NOC UTIL (%),DRAM BW UTIL (%),NPE CONG IMPACT (%)
Transpose,tt_dnn_device,6144,0,{'dim': 'TransposeOpDim::HC'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'pad_value': '0'},,64,,13238714852,13238718122,3270,2171924179337,2171924205055,8145184,8145184,25718,24717,24717,15338,24611,16244,204,24688,994,,,,,,,,,1,1,32,128,TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,32,32,128,TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,[],[],['ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/dataflow/reader_unary_transpose_hc_interleaved_tiled_padding_aware.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/dataflow/writer_unary_transpose_hc_interleaved_tiled_padding_aware.cpp'],['reader_unary_transpose_hc_interleaved_tiled_padding_aware/9560377486497319667/'; 'writer_unary_transpose_hc_interleaved_tiled_padding_aware/15335693681959085148/'],3088,2300,0,0,0,0,946,1,946,[8.659619331359863],[277.1078186035156],0.004,,,
Transpose,tt_dnn_device,6145,1,{'dim': 'TransposeOpDim::HC'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'pad_value': '0'},,64,,13238718172,13238722312,4140,2171928947700,2171928973307,8145316,8145316,25607,24601,24601,15395,24492,16220,209,24572,986,,,,,,,,,1,1,32,128,TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,32,32,128,TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,[],[],['ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/dataflow/reader_unary_transpose_hc_interleaved_tiled_padding_aware.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/transpose/device/kernels/dataflow/writer_unary_transpose_hc_interleaved_tiled_padding_aware.cpp'],['reader_unary_transpose_hc_interleaved_tiled_padding_aware/9560377486497319667/'; 'writer_unary_transpose_hc_interleaved_tiled_padding_aware/15335693681959085148/'],3088,2300,0,0,0,0,946,1,946,[8.659619331359863],[277.1078186035156],0.004,9.2,0.1,0.0
SliceDeviceOperation,tt_dnn_device,7168,0,{'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'slice_end': 'Shape([1; 1; 32; 128])'; 'slice_start': 'Shape([0; 0; 0; 0])'; 'step': 'Shape([1; 1; 1; 1])'},,64,,13724037730,13724115669,77939,2172402467063,2172402469725,478263002,478263002,2662,1668,1668,88,1553,175,213,1634,1053,,,,,,,,,1,32,32,128,TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,32,128,TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,[],[],['ttnn/cpp/ttnn/operations/data_movement/slice/device/kernels/dataflow/reader_unary_unpad_dims_interleaved_start_id.cpp'; 'ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp'],['reader_unary_unpad_dims_interleaved_start_id/11043244989891931876/'; 'writer_unary_interleaved_start_id/16540340939601574846/'],2104,2232,0,0,0,0,946,1,946,[277.1078186035156],[8.659619331359863],0.06,,,
SliceDeviceOperation,tt_dnn_device,7169,1,{'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'slice_end': 'Shape([1; 1; 32; 128])'; 'slice_start': 'Shape([0; 0; 0; 0])'; 'step': 'Shape([1; 1; 1; 1])'},,64,,13724115779,13724166169,50390,2172407237264,2172407239882,478264948,478264948,2618,1627,1627,88,1495,172,214,1595,1086,,,,,,,,,1,32,32,128,TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,32,128,TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,[],[],['ttnn/cpp/ttnn/operations/data_movement/slice/device/kernels/dataflow/reader_unary_unpad_dims_interleaved_start_id.cpp'; 'ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp'],['reader_unary_unpad_dims_interleaved_start_id/11043244989891931876/'; 'writer_unary_interleaved_start_id/16540340939601574846/'],2104,2232,0,0,0,0,946,1,946,[277.1078186035156],[8.659619331359863],0.061,1.0,1.9,5.68
SliceDeviceOperation,tt_dnn_device,8192,0,{'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'slice_end': 'Shape([1; 1; 32; 128])'; 'slice_start': 'Shape([0; 0; 0; 0])'; 'step': 'Shape([1; 1; 1; 1])'},,64,,13732556790,13732561790,5000,2172410857745,2172410860439,8389027,8389027,2694,1687,1687,88,1594,180,231,1656,965,,,,,,,,,1,32,32,128,TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,32,128,TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,[],[],['ttnn/cpp/ttnn/operations/data_movement/slice/device/kernels/dataflow/reader_unary_unpad_dims_interleaved_start_id.cpp'; 'ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp'],['reader_unary_unpad_dims_interleaved_start_id/11043244989891931876/'; 'writer_unary_interleaved_start_id/16540340939601574846/'],2104,2232,0,0,0,0,946,1,946,[277.1078186035156],[8.659619331359863],0.059,,,
SliceDeviceOperation,tt_dnn_device,8193,1,{'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::INTERLEAVED;buffer_type=BufferType::DRAM;shard_spec=std::nullopt;nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'slice_end': 'Shape([1; 1; 32; 128])'; 'slice_start': 'Shape([0; 0; 0; 0])'; 'step': 'Shape([1; 1; 1; 1])'},,64,,13732561850,13732563450,1600,2172415629200,2172415631783,8390320,8390320,2583,1582,1582,88,1508,178,218,1546,973,,,,,,,,,1,32,32,128,TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,32,128,TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,[],[],['ttnn/cpp/ttnn/operations/data_movement/slice/device/kernels/dataflow/reader_unary_unpad_dims_interleaved_start_id.cpp'; 'ttnn/cpp/ttnn/operations/eltwise/unary/device/kernels/dataflow/writer_unary_interleaved_start_id.cpp'],['reader_unary_unpad_dims_interleaved_start_id/11043244989891931876/'; 'writer_unary_interleaved_start_id/16540340939601574846/'],2104,2232,0,0,0,0,946,1,946,[277.1078186035156],[8.659619331359863],0.063,1.1,1.9,3.57
InterleavedToShardedDeviceOperation,tt_dnn_device,9216,0,{'keep_l1_aligned': 'false'; 'output_dtype': 'DataType::BFLOAT16'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=0) - (x=0;y=0)]};shape={32; 128};orientation=ShardOrientation::ROW_MAJOR;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt);nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'},,1,,14213468374,14213557684,89310,2172884798124,2172884800144,473938695,473938695,2020,997,997,997,997,997,8,989,986,,,,,,,,,1,1,32,128,TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,32,128,TILE,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,,,,,,,,,,,,,,,[],[],['ttnn/cpp/ttnn/operations/data_movement/sharded/device/kernels/dataflow/reader_unary_sharded_blocks_interleaved_start_id.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/sharded/device/kernels/dataflow/writer_unary_sharded.cpp'],['reader_unary_sharded_blocks_interleaved_start_id/16578226088630395728/'; 'writer_unary_sharded/2192253850628184922/'],384,2376,0,0,0,0,29,1,29,[282.4827575683594],[282.4827575683594],0.1,,,
InterleavedToShardedDeviceOperation,tt_dnn_device,9217,1,{'keep_l1_aligned': 'false'; 'output_dtype': 'DataType::BFLOAT16'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=0) - (x=0;y=0)]};shape={32; 128};orientation=ShardOrientation::ROW_MAJOR;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt);nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'},,1,,14213557794,14213611593,53799,2172889567622,2172889569629,473936849,473936849,2007,986,986,986,986,986,8,978,978,,,,,,,,,1,1,32,128,TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,32,128,TILE,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,,,,,,,,,,,,,,,[],[],['ttnn/cpp/ttnn/operations/data_movement/sharded/device/kernels/dataflow/reader_unary_sharded_blocks_interleaved_start_id.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/sharded/device/kernels/dataflow/writer_unary_sharded.cpp'],['reader_unary_sharded_blocks_interleaved_start_id/16578226088630395728/'; 'writer_unary_sharded/2192253850628184922/'],384,2376,0,0,0,0,29,1,29,[282.4827575683594],[282.4827575683594],0.101,0.4,3.0,0.0
InterleavedToShardedDeviceOperation,tt_dnn_device,10240,0,{'keep_l1_aligned': 'false'; 'output_dtype': 'DataType::BFLOAT16'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=0) - (x=0;y=0)]};shape={32; 128};orientation=ShardOrientation::ROW_MAJOR;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt);nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'},,1,,14221354230,14221359800,5570,2172892565520,2172892567535,7766397,7766397,2015,997,997,997,997,997,9,988,986,,,,,,,,,1,1,32,128,TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,32,128,TILE,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,,,,,,,,,,,,,,,[],[],['ttnn/cpp/ttnn/operations/data_movement/sharded/device/kernels/dataflow/reader_unary_sharded_blocks_interleaved_start_id.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/sharded/device/kernels/dataflow/writer_unary_sharded.cpp'],['reader_unary_sharded_blocks_interleaved_start_id/16578226088630395728/'; 'writer_unary_sharded/2192253850628184922/'],384,2376,0,0,0,0,29,1,29,[282.4827575683594],[282.4827575683594],0.1,,,
InterleavedToShardedDeviceOperation,tt_dnn_device,10241,1,{'keep_l1_aligned': 'false'; 'output_dtype': 'DataType::BFLOAT16'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::HEIGHT_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=0) - (x=0;y=0)]};shape={32; 128};orientation=ShardOrientation::ROW_MAJOR;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt);nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'},,1,,14221359850,14221361150,1300,2172897334354,2172897336525,7765748,7765748,2171,1141,1141,1141,1141,1141,8,1133,1135,,,,,,,,,1,1,32,128,TILE,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,32,128,TILE,BFLOAT16,DEV_0_L1_HEIGHT_SHARDED,,,,,,,,,,,,,,,,,[],[],['ttnn/cpp/ttnn/operations/data_movement/sharded/device/kernels/dataflow/reader_unary_sharded_blocks_interleaved_start_id.cpp'; 'ttnn/cpp/ttnn/operations/data_movement/sharded/device/kernels/dataflow/writer_unary_sharded.cpp'],['reader_unary_sharded_blocks_interleaved_start_id/16578226088630395728/'; 'writer_unary_sharded/2192253850628184922/'],384,2376,0,0,0,0,29,1,29,[282.4827575683594],[282.4827575683594],0.088,0.4,2.6,0.0
AllGather,tt_dnn_device,11265,1,{'cluster_axis': 'std::nullopt'; 'devices': '{0x557ca39d0870; 0x557ca3a38620}'; 'dim': '3'; 'mesh_device': 'MeshDevice **'; 'num_links': '1'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::WIDTH_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=0) - (x=7;y=3)]};shape={32; 96};orientation=ShardOrientation::ROW_MAJOR;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt);nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'ring_size': '2'; 'topology': 'Topology::Linear'; 'user_defined_num_buffers_per_channel': 'std::nullopt'; 'user_defined_num_workers': 'std::nullopt'},,9,,15482967483,15483134332,166849,2174140657318,2174140682339,1243322313,1243322313,25021,23566,23566,12720,23312,18460,2938,23452,22826,,,,20628,,,,,1,1,32,1536,TILE,BFLOAT16,DEV_0_L1_WIDTH_SHARDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,32,3072,TILE,BFLOAT16,DEV_0_L1_WIDTH_SHARDED,,,,,,,,,,,,,,,,,[],[],['ttnn/cpp/ttnn/operations/ccl/all_gather/device/kernels/dataflow/worker_interleaved_ring_gather_send_reader.cpp'; 'ttnn/cpp/ttnn/operations/ccl/all_gather/device/kernels/dataflow/worker_interleaved_ring_gather_send_writer.cpp'; 'ttnn/cpp/ttnn/operations/ccl/all_gather/device/kernels/dataflow/worker_interleaved_ring_gather_receive_reader.cpp'; 'ttnn/cpp/ttnn/operations/ccl/all_gather/device/kernels/dataflow/worker_interleaved_ring_gather_receive_writer.cpp'; 'ttnn/cpp/ttnn/operations/ccl/kernels/edm/erisc_datamover.cpp'],['worker_interleaved_ring_gather_send_reader/8462425848725244632/'; 'worker_interleaved_ring_gather_send_writer/5415962751315377899/'; 'worker_interleaved_ring_gather_receive_reader/4412358045964853926/'; 'worker_interleaved_ring_gather_receive_writer/12746736616452472208/'; 'erisc_datamover/17455008291557456266/'],10272,4856,0,0,0,8364,1,1,1,[98304.0],[196608.0],0.004,,,
AllGather,tt_dnn_device,12288,0,{'cluster_axis': 'std::nullopt'; 'devices': '{0x557ca39d0870; 0x557ca3a38620}'; 'dim': '3'; 'mesh_device': 'MeshDevice **'; 'num_links': '1'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::WIDTH_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=0) - (x=7;y=3)]};shape={32; 96};orientation=ShardOrientation::ROW_MAJOR;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt);nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'ring_size': '2'; 'topology': 'Topology::Linear'; 'user_defined_num_buffers_per_channel': 'std::nullopt'; 'user_defined_num_workers': 'std::nullopt'},,9,,15483134592,15483207001,72409,2174135889683,2174135912500,1243323717,1243323717,22817,21304,21304,12452,21163,17622,307,21163,20523,,,,20997,,,,,1,1,32,1536,TILE,BFLOAT16,DEV_0_L1_WIDTH_SHARDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,32,3072,TILE,BFLOAT16,DEV_0_L1_WIDTH_SHARDED,,,,,,,,,,,,,,,,,[],[],['ttnn/cpp/ttnn/operations/ccl/all_gather/device/kernels/dataflow/worker_interleaved_ring_gather_send_reader.cpp'; 'ttnn/cpp/ttnn/operations/ccl/all_gather/device/kernels/dataflow/worker_interleaved_ring_gather_send_writer.cpp'; 'ttnn/cpp/ttnn/operations/ccl/all_gather/device/kernels/dataflow/worker_interleaved_ring_gather_receive_reader.cpp'; 'ttnn/cpp/ttnn/operations/ccl/all_gather/device/kernels/dataflow/worker_interleaved_ring_gather_receive_writer.cpp'; 'ttnn/cpp/ttnn/operations/ccl/kernels/edm/erisc_datamover.cpp'],['worker_interleaved_ring_gather_send_reader/17837241722313213254/'; 'worker_interleaved_ring_gather_send_writer/17110002997698426313/'; 'worker_interleaved_ring_gather_receive_reader/4412358045964853926/'; 'worker_interleaved_ring_gather_receive_writer/12746736616452472208/'; 'erisc_datamover/1228560205953588459/'],10272,4856,0,0,0,8292,1,1,1,[98304.0],[196608.0],0.005,1.8,0.0,0.0
LayerNorm,tt_dnn_device,13312,0,{'compute_kernel_config': 'WormholeComputeKernelConfig(math_fidelity=HiFi2;math_approx_mode=0;fp32_dest_acc_en=1;packer_l1_acc=1;dst_full_sync_en=0)'; 'distributed_norm_stage': 'DistributedLayerNormStage::NOT_DISTRIBUTED'; 'dtype': 'std::nullopt'; 'eps': '1e-05'; 'norm_type': 'LayerNormType::RMSNORM'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::WIDTH_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=0) - (x=7;y=3)]};shape={32; 96};orientation=ShardOrientation::ROW_MAJOR;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt);nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'program_config': 'LayerNormShardedMultiCoreProgramConfig(compute_with_storage_grid_size=(x=8;y=4);subblock_w=3;block_h=1;block_w=3;inplace=0)'},HiFi2,32,,16344855713,16345061571,205858,2174985275152,2174985288376,849364223,849364233,13224,11596,11586,10644,11575,11474,450,10475,4763,11596,11080,11372,,,,,,1,1,32,3072,TILE,BFLOAT16,DEV_0_L1_WIDTH_SHARDED,1,1,96,32,ROW_MAJOR,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,,,,,,1,1,32,3072,TILE,BFLOAT16,DEV_0_L1_WIDTH_SHARDED,,,,,,,,,,,,,,,,,['ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/compute/layernorm_sharded.cpp'; 'ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/compute/layernorm_sharded.cpp'],['layernorm_sharded/17817434220519731356/'; 'layernorm_sharded/16655322596186183928/'],['ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/dataflow/reader_mcast_sender_unary_sharded_ln.cpp'; 'ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/dataflow/reader_mcast_receiver_unary_sharded_ln.cpp'; 'ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/dataflow/reader_mcast_receiver_unary_sharded_ln.cpp'; 'ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/dataflow/writer_unary_sharded_ln_rm_gb.cpp'; 'ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/dataflow/writer_unary_sharded_ln_rm_gb.cpp'],['reader_mcast_sender_unary_sharded_ln/374757268710144615/'; 'reader_mcast_receiver_unary_sharded_ln/7372754899112766105/'; 'reader_mcast_receiver_unary_sharded_ln/1839782140812213359/'; 'writer_unary_sharded_ln_rm_gb/7537565479774770202/'; 'writer_unary_sharded_ln_rm_gb/12005722125183231918/'],3948,3184,3732,3332,4152,0,1,1,1,[196608.0],[196608.0],0.009,,,
LayerNorm,tt_dnn_device,13313,1,{'compute_kernel_config': 'WormholeComputeKernelConfig(math_fidelity=HiFi2;math_approx_mode=0;fp32_dest_acc_en=1;packer_l1_acc=1;dst_full_sync_en=0)'; 'distributed_norm_stage': 'DistributedLayerNormStage::NOT_DISTRIBUTED'; 'dtype': 'std::nullopt'; 'eps': '1e-05'; 'norm_type': 'LayerNormType::RMSNORM'; 'output_mem_config': 'MemoryConfig(memory_layout=TensorMemoryLayout::WIDTH_SHARDED;buffer_type=BufferType::L1;shard_spec=ShardSpec(grid={[(x=0;y=0) - (x=7;y=3)]};shape={32; 96};orientation=ShardOrientation::ROW_MAJOR;mode=ShardMode::PHYSICAL;physical_shard_shape=std::nullopt);nd_shard_spec=std::nullopt;created_with_nd_shard_spec=0)'; 'program_config': 'LayerNormShardedMultiCoreProgramConfig(compute_with_storage_grid_size=(x=8;y=4);subblock_w=3;block_h=1;block_w=3;inplace=0)'},HiFi2,32,,16345061901,16345153430,91529,2174990050237,2174990063508,849369467,849369470,13271,11645,11642,10690,11628,11523,460,10535,4660,11645,11129,11424,,,,,,1,1,32,3072,TILE,BFLOAT16,DEV_0_L1_WIDTH_SHARDED,1,1,96,32,ROW_MAJOR,BFLOAT16,DEV_0_DRAM_INTERLEAVED,,,,,,,,,,,,,,,,,,,,,,1,1,32,3072,TILE,BFLOAT16,DEV_0_L1_WIDTH_SHARDED,,,,,,,,,,,,,,,,,['ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/compute/layernorm_sharded.cpp'; 'ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/compute/layernorm_sharded.cpp'],['layernorm_sharded/17817434220519731356/'; 'layernorm_sharded/16655322596186183928/'],['ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/dataflow/reader_mcast_sender_unary_sharded_ln.cpp'; 'ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/dataflow/reader_mcast_receiver_unary_sharded_ln.cpp'; 'ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/dataflow/reader_mcast_receiver_unary_sharded_ln.cpp'; 'ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/dataflow/writer_unary_sharded_ln_rm_gb.cpp'; 'ttnn/cpp/ttnn/operations/normalization/layernorm/device/kernels/dataflow/writer_unary_sharded_ln_rm_gb.cpp'],['reader_mcast_sender_unary_sharded_ln/374757268710144615/'; 'reader_mcast_receiver_unary_sharded_ln/7372754899112766105/'; 'reader_mcast_receiver_unary_sharded_ln/1839782140812213359/'; 'writer_unary_sharded_ln_rm_gb/7537565479774770202/'; 'writer_unary_sharded_ln_rm_gb/12005722125183231918/'],3948,3184,3732,3332,4152,0,1,1,1,[196608.0],[196608.0],0.009,,,
