ARCH: wormhole_b0, CHIP_FREQ[MHz]: 1000
PCIe slot, core_x, core_y, RISC processor type, timer_id, time[cycles since reset], data, run host ID,  zone name, type, source line, source file, meta data
0,1,1,BRISC,22845,2170879416545,0,1024,BRISC-FW,ZONE_START,396,/localdev/bgrady/tt-metal/tt_metal/hw/firmware/src/brisc.cc,
0,1,1,BRISC,22845,2170879425786,0,1024,BRISC-FW,ZONE_END,396,/localdev/bgrady/tt-metal/tt_metal/hw/firmware/src/brisc.cc,
0,1,1,BRISC,21766,2170879417425,0,1024,BRISC-KERNEL,ZONE_START,49,/localdev/bgrady/tt-metal/tt_metal/hw/firmware/src/brisck.cc,
0,1,1,BRISC,21766,2170879425606,0,1024,BRISC-KERNEL,ZONE_END,49,/localdev/bgrady/tt-metal/tt_metal/hw/firmware/src/brisck.cc,
0,1,1,BRISC,12345,2170879420613,3105098146250761,1024,,TS_DATA,0,,
0,1,1,BRISC,12345,2170879420794,3105098146253321,1024,,TS_DATA,0,,
0,1,1,BRISC,12345,2170879420938,3105098146252297,1024,,TS_DATA,0,,
0,1,1,BRISC,12345,2170879421083,3105098146251785,1024,,TS_DATA,0,,
0,1,1,BRISC,12345,2170879421227,3105098146253316,1024,,TS_DATA,0,,
0,1,1,BRISC,12345,2170879421372,3105098146250756,1024,,TS_DATA,0,,
0,1,1,BRISC,12345,2170879421516,3105098146253060,1024,,TS_DATA,0,,
0,1,1,BRISC,12345,2170879421661,3105098146251268,1024,,TS_DATA,0,,
0,1,1,BRISC,12345,2170879421805,3105098146251524,1024,,TS_DATA,0,,
0,1,1,BRISC,12345,2170879421950,3105098146252804,1024,,TS_DATA,0,,
0,1,1,BRISC,12345,2170879422094,3105098146252292,1024,,TS_DATA,0,,
0,1,1,BRISC,12345,2170879422239,3105098146251780,1024,,TS_DATA,0,,
0,1,1,BRISC,12345,2170879422383,3105098146250761,1024,,TS_DATA,0,,
0,1,1,BRISC,12345,2170879422527,3105098146253321,1024,,TS_DATA,0,,
0,1,1,BRISC,12345,2170879422671,3105098146252297,1024,,TS_DATA,0,,
0,1,1,BRISC,12345,2170879422815,3105098146251785,1024,,TS_DATA,0,,
0,1,1,BRISC,12345,2170879422959,3105098146253316,1024,,TS_DATA,0,,
0,1,1,BRISC,12345,2170879423103,3105098146250756,1024,,TS_DATA,0,,
0,1,1,BRISC,12345,2170879423247,3105098146253060,1024,,TS_DATA,0,,
0,1,1,BRISC,12345,2170879423391,3105098146251268,1024,,TS_DATA,0,,
0,1,1,BRISC,12345,2170879423535,3105098146251524,1024,,TS_DATA,0,,
0,1,1,BRISC,12345,2170879423679,3105098146252804,1024,,TS_DATA,0,,
0,1,1,BRISC,12345,2170879423823,3105098146252292,1024,,TS_DATA,0,,
0,1,1,BRISC,12345,2170879423967,3105098146251780,1024,,TS_DATA,0,,
0,1,1,BRISC,12345,2170879424111,3105098146250761,1024,,TS_DATA,0,,
0,1,1,BRISC,12345,2170879424255,3105098146253321,1024,,TS_DATA,0,,
0,1,1,BRISC,12345,2170879424399,3105098146252297,1024,,TS_DATA,0,,
0,1,1,BRISC,12345,2170879424543,3105098146251785,1024,,TS_DATA,0,,
0,1,1,BRISC,12345,2170879424687,3105098146253316,1024,,TS_DATA,0,,
0,1,1,BRISC,12345,2170879424831,3105098146250756,1024,,TS_DATA,0,,
0,1,1,BRISC,12345,2170879424976,3105098146253060,1024,,TS_DATA,0,,
